Column1,id,geometry,x,y,,,,Typ budovy,,,,Pocet-bytov
0,16886,POINT (21.2240771 48.7077919),21.2240771,48.7077919,,,,Rodinny dom,,,,1
1,17467,POINT (21.2259599 48.7082246),21.2259599,48.7082246,,,,Rodinny dom,,,,1
2,17448,POINT (21.2283829 48.7077276),21.2283829,48.7077276,,,,Rodinny dom,,,,1
3,17449,POINT (21.2283532 48.7078069),21.2283532,48.7078069,,,,Rodinny dom,,,,1
4,17452,POINT (21.2283236 48.7078862),21.2283236,48.7078862,,,,Rodinny dom,,,,1
5,17454,POINT (21.2282939 48.7079655),21.2282939,48.7079655,,,,Rodinny dom,,,,1
6,17456,POINT (21.2282642 48.7080448),21.2282642,48.7080448,,,,Rodinny dom,,,,1
7,17457,POINT (21.2282345 48.7081242),21.2282345,48.7081242,,,,Rodinny dom,,,,1
8,17460,POINT (21.2256003 48.7081649),21.2256003,48.7081649,,,,Rodinny dom,,,,1
9,17463,POINT (21.2257202 48.7081848),21.2257202,48.7081848,,,,Rodinny dom,,,,1
10,17465,POINT (21.22584 48.7082047),21.22584,48.7082047,,,,Rodinny dom,,,,1
11,17468,POINT (21.2261039 48.7081803),21.2261039,48.7081803,,,,Rodinny dom,,,,1
12,17444,POINT (21.2284423 48.7075689),21.2284423,48.7075689,,,,Rodinny dom,,,,1
13,17471,POINT (21.2262479 48.7081361),21.2262479,48.7081361,,,,Rodinny dom,,,,1
14,17472,POINT (21.2263918 48.7080918),21.2263918,48.7080918,,,,Rodinny dom,,,,1
15,17475,POINT (21.2265358 48.7080475),21.2265358,48.7080475,,,,Rodinny dom,,,,1
16,17478,POINT (21.2261671 48.7087838),21.2261671,48.7087838,,,,Rodinny dom,,,,1
17,17481,POINT (21.2254458 48.7109229),21.2254458,48.7109229,,,,Rodinny dom,,,,1
18,17484,POINT (21.2232688 48.7051081),21.2232688,48.7051081,,,,Rodinny dom,,,,1
19,17486,POINT (21.2234848 48.7051584),21.2234848,48.7051584,,,,Rodinny dom,,,,1
20,17488,POINT (21.2237185 48.7051987),21.2237185,48.7051987,,,,Rodinny dom,,,,1
21,17489,POINT (21.2239395 48.7052424),21.2239395,48.7052424,,,,Rodinny dom,,,,1
22,17445,POINT (21.2284126 48.7076483),21.2284126,48.7076483,,,,Rodinny dom,,,,1
23,17440,POINT (21.2285017 48.7074103),21.2285017,48.7074103,,,,Rodinny dom,,,,1
24,17683,POINT (21.2345755 48.7250885),21.2345755,48.7250885,,,,Rodinny dom,,,,1
25,17417,POINT (21.2273918 48.7075288),21.2273918,48.7075288,,,,Rodinny dom,,,,1
26,17398,POINT (21.225417 48.7105982),21.225417,48.7105982,,,,Rodinny dom,,,,1
27,17401,POINT (21.2254098 48.710517),21.2254098,48.710517,,,,Rodinny dom,,,,1
28,17403,POINT (21.2275301 48.7081789),21.2275301,48.7081789,,,,Rodinny dom,,,,1
29,17404,POINT (21.2269931 48.7080939),21.2269931,48.7080939,,,,Rodinny dom,,,,1
30,17407,POINT (21.2271167 48.7079526),21.2271167,48.7079526,,,,Rodinny dom,,,,1
31,17409,POINT (21.2271107 48.7077914),21.2271107,48.7077914,,,,Rodinny dom,,,,1
32,17410,POINT (21.2277093 48.7078948),21.2277093,48.7078948,,,,Rodinny dom,,,,1
33,17413,POINT (21.2272253 48.7076541),21.2272253,48.7076541,,,,Rodinny dom,,,,1
34,17414,POINT (21.2278629 48.7077581),21.2278629,48.7077581,,,,Rodinny dom,,,,1
35,17418,POINT (21.2278303 48.7075953),21.2278303,48.7075953,,,,Rodinny dom,,,,1
36,17438,POINT (21.2257457 48.7084196),21.2257457,48.7084196,,,,Rodinny dom,,,,1
37,17421,POINT (21.2279973 48.7074583),21.2279973,48.7074583,,,,Rodinny dom,,,,1
38,17422,POINT (21.2253635 48.7117372),21.2253635,48.7117372,,,,Rodinny dom,,,,1
39,17425,POINT (21.2253363 48.7100933),21.2253363,48.7100933,,,,Rodinny dom,,,,1
40,17427,POINT (21.2253778 48.7097489),21.2253778,48.7097489,,,,Rodinny dom,,,,1
41,17428,POINT (21.225414 48.7096435),21.225414,48.7096435,,,,Rodinny dom,,,,1
42,17431,POINT (21.2254893 48.7094304),21.2254893,48.7094304,,,,Rodinny dom,,,,1
